biomarkers,n_tests,coverage,worst_case_sensitivity,cost_eur,time_min,sample_ul,pathologies_covered,pathologies_uncovered,pareto_optimal
hs-cTnI,1,0.16666666666666666,0.0,10.0,15.0,20.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
D-dimer,1,0.3333333333333333,0.0,7.0,10.0,15.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",True
NT-proBNP,1,0.16666666666666666,0.0,14.0,15.0,15.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
CRP,1,0.16666666666666666,0.0,5.0,4.0,5.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",True
Copeptin,1,0.0,0.0,17.5,20.0,50.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
H-FABP,1,0.0,0.0,8.0,15.0,10.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
Myoglobin,1,0.16666666666666666,0.0,6.5,10.0,10.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
Procalcitonin,1,0.0,0.0,21.0,20.0,20.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"D-dimer, hs-cTnI",2,0.5,0.0,17.0,15.0,35.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"NT-proBNP, hs-cTnI",2,0.3333333333333333,0.0,24.0,15.0,35.0,2,"Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, hs-cTnI",2,0.3333333333333333,0.0,15.0,15.0,25.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, hs-cTnI",2,0.16666666666666666,0.0,27.5,20.0,70.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, hs-cTnI",2,0.16666666666666666,0.0,18.0,15.0,30.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Myoglobin, hs-cTnI",2,0.3333333333333333,0.0,16.5,15.0,30.0,2,"Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Procalcitonin, hs-cTnI",2,0.16666666666666666,0.0,31.0,20.0,40.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"D-dimer, NT-proBNP",2,0.5,0.0,21.0,15.0,30.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, D-dimer",2,0.5,0.0,12.0,10.0,20.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",True
"Copeptin, D-dimer",2,0.3333333333333333,0.0,24.5,20.0,65.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP",2,0.3333333333333333,0.0,15.0,15.0,25.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin",2,0.5,0.0,13.5,10.0,25.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"D-dimer, Procalcitonin",2,0.3333333333333333,0.0,28.0,20.0,35.0,2,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, NT-proBNP",2,0.3333333333333333,0.0,19.0,15.0,20.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, NT-proBNP",2,0.16666666666666666,0.0,31.5,20.0,65.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, NT-proBNP",2,0.16666666666666666,0.0,22.0,15.0,25.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Myoglobin, NT-proBNP",2,0.3333333333333333,0.0,20.5,15.0,25.0,2,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"NT-proBNP, Procalcitonin",2,0.16666666666666666,0.0,35.0,20.0,35.0,1,"ACS (STEMI/NSTEMI/UA), Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin",2,0.16666666666666666,0.0,22.5,20.0,55.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, H-FABP",2,0.16666666666666666,0.0,13.0,15.0,15.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Myoglobin",2,0.16666666666666666,0.0,11.5,10.0,15.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Procalcitonin",2,0.16666666666666666,0.0,26.0,20.0,25.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, H-FABP",2,0.0,0.0,25.5,20.0,60.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Myoglobin",2,0.16666666666666666,0.0,24.0,20.0,60.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"Copeptin, Procalcitonin",2,0.0,0.0,38.5,20.0,70.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin",2,0.16666666666666666,0.0,14.5,15.0,20.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Procalcitonin",2,0.0,0.0,29.0,20.0,30.0,0,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"Myoglobin, Procalcitonin",2,0.16666666666666666,0.0,27.5,20.0,30.0,1,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Aortic Dissection, Pneumothorax (tension), Pulmonary Embolism",False
"D-dimer, NT-proBNP, hs-cTnI",3,0.6666666666666666,0.0,31.0,15.0,50.0,4,"Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, D-dimer, hs-cTnI",3,0.6666666666666666,0.0,22.0,15.0,40.0,4,"Acute Heart Failure, Pneumothorax (tension)",True
"Copeptin, D-dimer, hs-cTnI",3,0.5,0.0,34.5,20.0,85.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, hs-cTnI",3,0.5,0.0,25.0,15.0,45.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin, hs-cTnI",3,0.6666666666666666,0.0,23.5,15.0,45.0,4,"Acute Heart Failure, Pneumothorax (tension)",False
"D-dimer, Procalcitonin, hs-cTnI",3,0.5,0.0,38.0,20.0,55.0,3,"Acute Heart Failure, Pericarditis / Myocarditis, Pneumothorax (tension)",False
